year,arctic_fox_sum,badger_sum,bassarisk_sum,beaver_sum,bobcat_sum,cougar_sum,coyote_sum,fisher_sum,fox_gray_sum,fox_kit_sum,fox_red_sum,fox_swift_sum,gray_wolf_sum,lynx_sum,marten_sum,mink_sum,muskrat_sum,nutria_sum,opossum_sum,otter_sum,raccoon_sum,skunk_hooded_sum,skunk_hognosed_sum,skunk_striped_sum,squirrel_sum,weasel_sum,wolverine_sum,all_species_sum
1970,0,1573,0,48800,1085,0,14971,5008,17520,0,121342,0,75,10,0,86583,2857472,588,66847,2372,868302,0,0,14696,821520,5477,0,4934241
1971,0,1773,0,98025,1147,0,16587,3640,21475,0,118098,0,92,11,0,83438,3123984,1454,88687,4138,1111400,0,0,11145,706630,2941,0,5394665
1972,0,2234,0,138691,1214,0,21556,4565,36745,0,125311,0,300,180,0,100229,3291790,1728,144829,4969,1359209,0,0,20135,792690,5899,977,6053251
1973,0,3417,0,83117,1595,0,29548,4196,55782,0,155354,0,200,400,152,147577,4706785,4674,281754,3961,1866850,0,0,33437,1302340,6812,0,8687951
1974,0,4539,0,83914,1748,0,30934,3999,63951,0,143041,0,0,3918,158,143956,5475398,1751,360217,4131,1985685,0,0,41283,1328170,10343,0,9687136
1975,0,4408,0,126659,2129,0,36070,4098,90214,0,172648,0,0,0,256,147681,5215871,5359,403475,3212,2516693,0,0,44882,1123760,9747,0,9907162
1976,0,7352,0,87155,2890,0,62724,2905,97103,0,208771,0,0,0,500,147783,4431582,29679,443369,3965,2263530,0,0,60251,861230,19756,0,8730545
1977,0,4018,0,89109,1733,0,51341,4830,108738,0,208303,0,0,21,1408,136904,4184941,399,345947,4145,2309238,0,0,53831,962110,5903,0,8472919
1978,0,6141,0,125993,2052,0,60343,5929,145480,0,274688,0,0,28,1164,176285,4837758,185,358826,4590,3017329,0,0,97532,1016480,8937,0,10139740
1979,0,6648,0,229591,2284,0,53746,8861,169207,0,264931,0,0,42,2792,230388,6170492,856,556076,10546,3176382,0,0,129461,834250,13976,0,11860529
