year,arctic_fox_sum,badger_sum,bassarisk_sum,beaver_sum,bobcat_sum,cougar_sum,coyote_sum,fisher_sum,fox_gray_sum,fox_kit_sum,fox_red_sum,fox_swift_sum,gray_wolf_sum,lynx_sum,marten_sum,mink_sum,muskrat_sum,nutria_sum,opossum_sum,otter_sum,raccoon_sum,skunk_hooded_sum,skunk_hognosed_sum,skunk_striped_sum,squirrel_sum,weasel_sum,wolverine_sum,all_species_sum
1970,2600,109,0,16121,1845,0,2213,0,450,0,3791,0,635,1415,8186,8979,104852,3479,684,2057,3470,0,0,1133,0,782,0,162801
1971,1650,146,0,21655,2525,0,3019,0,315,0,2759,0,1335,3212,8449,5533,123025,5950,776,2862,4232,0,0,1051,0,674,548,189716
1972,1790,204,0,29454,2596,0,4769,0,703,0,5918,0,1071,5140,8729,9948,139949,4749,1037,3458,5952,0,0,967,0,1858,946,229238
1973,2340,442,0,29494,3976,0,9484,0,1328,0,15517,0,970,8977,18038,13449,146822,5711,2216,3473,9751,0,0,3260,0,2672,1037,278957
1974,755,486,0,28501,3686,0,11951,0,1231,0,6903,0,1090,38,11802,9915,160172,12293,2106,3104,11175,0,0,2310,0,1152,805,269475
1975,0,436,0,13749,4958,0,12825,0,2174,0,874,0,1243,35,181,2984,179093,12627,3282,937,12900,0,0,3285,0,224,984,252791
1976,4261,1210,0,38436,7266,0,23537,0,4079,0,12659,0,1076,2338,23038,18636,256739,17607,3183,5081,18049,0,0,4473,0,50,939,442657
1977,1385,1105,0,27703,10075,0,25547,0,5187,0,7162,0,864,2027,29305,14438,189335,17697,5536,3248,30809,0,0,5452,0,1296,883,379054
1978,3275,873,0,20713,11961,150,62219,0,7992,0,13134,0,855,2398,36368,15874,186286,12766,5725,3121,30891,0,0,5845,0,1965,730,423141
1979,1479,1284,0,38585,12246,140,70668,0,10117,0,14027,0,633,2745,36666,14372,235964,12393,7400,0,27933,0,0,7714,0,2513,696,497575
1980,3051,933,0,37801,14455,0,28182,0,10683,0,12475,0,740,5223,34286,26694,297735,16676,7848,3564,22138,0,0,8230,0,360,568,531642
1981,1948,1201,0,23054,13046,0,29465,0,10860,0,14290,0,682,5221,34053,28849,184259,10364,5590,2793,22783,0,0,7330,0,276,630,396694
1982,1202,1218,0,17980,12145,0,21908,0,9168,0,6782,0,0,5654,30690,16935,128427,11033,6356,2334,18129,0,0,7342,0,617,0,297920
1983,720,521,0,18129,10945,0,16350,0,7797,0,8331,0,729,3134,25127,28830,137304,10687,6221,2670,16434,0,0,6263,0,656,601,301449
1984,0,674,0,13149,13009,0,17811,0,9066,0,682,0,3,0,387,3121,97846,13921,6547,990,19504,0,0,5596,0,161,0,202467
1985,0,308,0,8716,9894,0,11221,0,7534,0,210,0,0,0,237,1468,56315,1549,1049,578,7293,0,0,3510,0,60,0,109942
1986,165,967,0,38653,14377,0,23504,0,10482,0,4475,0,798,1235,27865,8626,111365,13491,4004,3289,21742,0,0,6268,256,727,633,292922
1987,0,1007,0,34814,13407,0,21637,0,11585,0,5665,0,1097,1049,27478,13203,104382,15738,4032,3545,16715,0,0,6139,713,641,547,283394
1988,361,269,0,20003,7443,0,10408,0,7139,0,4792,0,855,1198,30518,9714,57200,8582,1831,2347,5611,0,0,3509,0,677,471,172928
1989,73,195,0,19630,3892,0,6313,0,3153,0,1461,0,934,1300,21205,11166,31084,7001,1017,2163,3367,0,0,2184,0,773,453,117364
1990,0,207,0,13527,2523,0,5859,0,1245,0,217,0,1100,1246,363,1324,23697,5356,1392,2128,4591,0,0,1593,0,36,507,66911
1991,42,199,0,17300,2888,0,7391,0,1497,0,1626,0,1162,2074,16324,4363,32899,6555,1674,2287,6574,0,0,1488,0,181,591,107115
1992,252,260,0,10503,2834,187,7923,0,1606,0,227,0,1051,1366,2545,1430,17411,6424,1861,1516,5249,0,0,1593,0,26,395,64659
1993,144,167,0,15781,2662,160,7393,0,1491,0,221,0,1583,1220,3997,1301,29497,6683,1256,1581,5514,0,0,1454,0,30,514,82649
1994,149,242,0,16541,3082,144,8522,0,1271,0,227,0,1459,816,5098,1197,30262,8109,1155,1854,5044,0,0,1478,0,51,626,87327
1995,0,154,0,12598,2794,31,5856,0,967,0,146,0,1251,574,3271,739,23279,9232,1503,2456,4836,0,0,2467,0,78,389,72621
1996,135,277,0,19046,3492,0,7764,0,1022,0,1936,0,1280,1719,4578,7365,51272,9835,1702,2967,7046,0,0,2371,0,488,531,124826
1997,51,241,0,19137,3766,61,6324,0,948,0,1191,0,1081,2714,3868,3243,47364,12711,1491,2939,7559,0,0,1983,0,506,496,117674
1998,0,184,0,3348,1661,0,3347,0,368,0,67,0,0,0,17,323,12248,10345,849,388,4341,0,0,1430,0,7,0,38923
1999,0,115,0,3265,1593,0,3155,0,420,0,90,0,0,0,16,319,13911,6065,766,384,4523,0,0,1523,0,4,0,36149
2000,0,190,0,3702,1780,0,3262,0,307,0,203,0,0,0,56,369,17079,5325,724,445,4716,0,0,1789,0,7,0,39954
2001,0,98,0,4094,1847,0,3130,0,386,0,172,0,0,0,57,300,14466,4197,815,467,3150,0,0,697,0,30,0,33906
2002,0,121,98,3275,2684,0,4530,0,509,0,251,0,0,0,19,370,11865,4419,851,627,3588,0,0,1388,0,22,0,34617
2003,0,270,0,3019,3718,0,5919,0,629,0,223,0,0,0,14,267,7627,3260,2574,549,4723,0,0,1039,0,12,0,33843
2004,0,413,0,2986,4032,0,5894,0,529,0,259,0,0,0,34,260,7877,4266,1114,466,4308,0,0,2385,0,0,32,34855
2005,0,377,0,2974,3859,0,5602,0,513,0,222,0,0,0,31,391,9183,2125,626,553,2173,0,0,823,0,47,0,29499
2006,0,739,0,3534,5385,0,7634,0,964,0,198,0,0,0,58,416,12149,2431,596,357,2974,0,0,1116,0,50,0,38601
2007,0,491,0,2658,3859,0,6279,0,1096,0,138,0,0,0,100,332,6763,2064,543,276,2834,0,0,619,0,31,0,28083
2008,0,196,0,2692,2958,0,4260,0,1332,0,151,0,0,0,127,356,10693,3189,651,346,3221,0,0,1057,0,23,0,31252
2009,0,200,0,2825,2026,0,3899,0,518,0,84,0,0,0,46,284,8027,2026,593,370,2019,0,0,866,0,17,0,23800
