year,arctic_fox_sum,badger_sum,bassarisk_sum,beaver_sum,bobcat_sum,cougar_sum,coyote_sum,fisher_sum,fox_gray_sum,fox_kit_sum,fox_red_sum,fox_swift_sum,gray_wolf_sum,lynx_sum,marten_sum,mink_sum,muskrat_sum,nutria_sum,opossum_sum,otter_sum,raccoon_sum,skunk_hooded_sum,skunk_hognosed_sum,skunk_striped_sum,squirrel_sum,weasel_sum,wolverine_sum,all_species_sum
1970,0,4267,60,29471,7389,333,33777,0,1148,83,27616,0,0,135,507,25315,351601,0,8694,77,64180,0,0,4701,0,2167,12,561533
1971,0,1894,0,34834,5004,215,25233,0,454,0,28504,0,0,108,362,16856,382661,15,13445,42,74874,0,0,4487,0,721,23,589732
1972,0,6227,0,49686,8942,244,48146,0,566,0,49018,0,0,353,1023,21931,420101,0,21409,57,100273,0,0,7803,0,855,31,736665
1973,0,14492,0,45030,14102,379,57633,0,4278,0,102786,0,0,275,560,49668,735347,1,23308,103,136241,0,0,18316,0,1963,15,1204497
1974,0,15205,201,44819,9483,371,83471,0,3095,126,66782,0,0,178,1294,32459,475033,0,30679,50,140523,0,0,21387,0,1299,0,926455
1975,0,15760,564,34462,12234,422,103145,0,5905,72,76945,0,0,244,1614,19337,381498,0,45855,36,184335,0,0,18461,0,1074,40,902003
1976,0,32682,1764,65682,25931,386,176854,0,23318,537,96809,0,0,229,4466,35884,525931,0,56350,88,227849,0,0,41101,0,3902,58,1319821
1977,0,21549,1763,46357,18871,429,176572,0,21938,687,66960,0,0,37,4941,16920,316412,0,41759,67,161537,0,0,28198,0,3280,15,928292
1978,0,26046,2961,45529,22632,506,164627,0,26708,3624,64574,0,0,57,2773,19182,403114,0,34839,51,154580,0,0,37773,0,2360,15,1011951
1979,0,35096,4951,101829,25983,550,178367,0,34375,6289,72950,0,0,97,4861,39226,766311,11,42242,2947,203445,0,0,78983,0,5417,13,1603943
1980,0,22028,6731,69782,25869,844,149593,0,37670,6944,62918,0,0,38,5238,40474,853391,0,37617,94,171183,0,0,43379,0,2610,14,1536417
1981,0,21197,6731,49399,23404,844,184281,0,41290,7198,78420,0,0,51,4810,32038,664422,0,39235,42,164391,0,0,38578,0,1687,8,1358026
1982,0,20422,4839,47857,31898,1129,157637,0,33272,6835,52959,0,0,53,3100,23856,525190,0,35130,49,173559,0,0,41285,0,1440,7,1160517
1983,0,12481,4121,55457,22864,980,140865,12,26960,5414,63243,0,0,59,3485,17994,477547,0,11015,46,119986,0,0,38114,0,473,0,1001116
1984,0,19427,3519,72981,22148,311,125221,0,29331,2094,82824,0,69,0,6826,24340,514982,0,22781,45,214907,0,0,32061,0,1315,1288,1176470
1985,0,15740,2950,73233,16715,271,118983,15,21030,5617,63160,0,0,36,7571,23332,281267,0,20484,39,182074,0,0,30520,0,1349,16,864402
1986,0,15511,4221,83267,20965,132,167076,14,31323,4886,70847,0,0,20,6372,27486,655607,0,38817,86,261669,0,0,37003,0,1954,10,1427266
1987,612,19320,6892,68932,20778,180,150483,16,28957,8213,70015,0,0,18,8496,39170,754380,0,40792,91,280810,0,0,34614,0,1849,8,1534626
1988,0,10199,2177,49752,12625,1243,72851,12,14556,4310,50698,0,0,25,8211,22758,235965,0,12279,41,149709,0,0,16960,0,2692,11,667074
