year,arctic_fox_sum,badger_sum,bassarisk_sum,beaver_sum,bobcat_sum,cougar_sum,coyote_sum,fisher_sum,fox_gray_sum,fox_kit_sum,fox_red_sum,fox_swift_sum,gray_wolf_sum,lynx_sum,marten_sum,mink_sum,muskrat_sum,nutria_sum,opossum_sum,otter_sum,raccoon_sum,skunk_hooded_sum,skunk_hognosed_sum,skunk_striped_sum,squirrel_sum,weasel_sum,wolverine_sum,all_species_sum
1970,0,0,0,5813,535,0,1229,0,7426,0,2672,0,0,0,0,37137,1055677,1236770,31283,6838,149577,0,0,1758,0,118,0,2536833
1971,0,0,0,7082,762,0,970,0,7315,0,3346,0,0,0,0,36792,623549,1301636,31321,7954,176108,0,0,1133,0,186,0,2198154
1972,0,135,78157,11280,3175,0,4463,0,22680,0,7929,0,0,0,0,64750,781920,1625796,91479,10666,463516,0,0,4299,0,801,0,3171046
1973,0,642,101802,11846,10540,0,27307,0,48180,251,9667,0,0,0,0,61403,697121,1803356,197626,9031,721224,0,0,13858,0,544,0,3714398
1974,0,1152,78930,14988,16960,0,41403,0,77929,0,14057,0,0,0,0,66351,764593,1531994,396772,9407,830941,0,0,23023,0,626,0,3869126
1975,0,713,77219,10566,17705,0,29744,0,71329,0,16581,0,0,0,0,67713,1179066,1547713,275344,10327,897319,0,0,12806,0,450,0,4214595
1976,0,3941,149393,43228,47328,0,97139,0,129885,937,40833,0,0,0,0,125246,1495280,1926689,537701,22068,1508363,0,0,33678,0,1147,0,6162856
1977,0,3701,128758,53527,42230,0,112060,0,154765,1163,41199,0,0,0,0,82915,1066521,1753899,529445,19182,1352560,0,0,32400,0,627,0,5374952
1978,0,3548,132751,51812,45021,0,112786,0,202087,0,45343,0,0,0,0,108711,861049,1173353,744932,22091,1486068,0,0,123482,0,950,0,5113984
1979,0,5574,90424,84672,42894,0,120889,0,188335,0,44381,0,0,0,0,125468,1114589,1331271,1144620,20246,1587743,0,0,137714,0,1100,0,6039920
1980,0,3298,76749,68336,36984,0,80695,0,153624,0,43670,0,0,0,0,145577,1235473,1252201,640998,25505,1476266,0,0,113632,0,825,0,5353833
1981,0,2084,76749,47106,29158,0,77098,0,109148,0,34727,0,0,0,0,93749,728184,992955,456565,14951,1273271,0,0,92161,0,320,0,4028226
1982,0,1807,63109,29203,29047,0,73335,0,130612,1210,34177,0,0,0,0,89740,621004,786490,423944,8638,1358658,0,0,87046,0,401,0,3738421
1983,0,1370,44642,21655,30593,0,49959,0,104733,0,31305,0,0,0,0,70968,608036,907660,227957,10888,941460,0,0,70696,0,365,0,3122287
1984,0,1557,54585,33232,34581,0,61443,0,119849,0,36740,0,0,0,0,83957,492959,1233034,237773,14717,1278659,0,0,48351,0,410,0,3731847
1985,0,1525,49575,38068,33366,0,52325,0,99967,0,29795,0,0,0,0,77800,302165,793247,221666,10755,1073598,0,0,49416,0,138,0,2833406
1986,0,1772,49891,56291,41918,0,75877,0,129903,0,30686,0,0,0,0,87743,414354,1013994,344118,13738,1374965,0,0,71633,0,128,0,3707011
1987,0,1709,50644,50845,48457,0,86080,0,142732,0,33932,0,0,0,0,70029,416171,646553,316514,13332,1167768,0,0,62579,0,164,0,3107509
1988,0,1339,20611,30198,24068,0,38256,0,56222,0,13683,0,0,0,0,49107,112361,225945,99408,6063,357805,0,0,26922,0,88,0,1062076
1989,0,815,9222,27964,12324,0,25386,0,26737,0,8100,0,0,0,0,20906,71017,299160,36709,4567,191581,0,0,12864,0,11,0,747363
1990,0,290,5146,17727,5070,0,30186,0,14016,0,5941,0,0,0,0,12742,38858,138077,26837,2710,109369,0,0,7158,0,29,0,414156
1991,0,373,4534,23351,7702,0,29415,0,21778,0,8049,0,0,0,0,20809,79885,245255,36496,4685,169607,0,0,10638,0,91,0,662668
1992,0,583,0,25850,7550,0,25872,0,17817,120,5280,0,0,0,0,13675,41147,135822,24787,4480,122966,0,0,13249,0,13,0,439211
1993,0,425,0,25240,8341,0,25213,0,18204,0,5411,0,0,0,442,17473,45971,230634,23655,9076,143917,0,0,9159,0,56,0,563217
1994,0,483,6786,40439,11618,0,27180,0,20763,363,6278,0,0,0,0,24562,54055,182485,34989,12909,241200,0,0,8384,0,21,0,672515
1995,0,315,0,43820,5278,0,15283,0,17774,0,5520,0,0,0,0,16154,28744,195423,31008,14778,237381,0,0,7859,0,3,0,619340
1996,0,1037,0,79613,18280,0,22721,0,31204,2117,10831,0,0,0,0,19617,68303,341188,63309,17889,507708,0,0,16771,0,45,0,1200633
1997,0,776,0,63809,14341,0,26085,0,22942,171,8705,0,0,0,0,16162,66941,385326,53520,15531,346218,0,0,22659,0,27,0,1043213
1998,0,516,4013,31978,8871,0,21435,0,12538,13,3027,13,0,0,0,2501,6240,5779,21238,5427,114600,0,0,9313,0,4,0,247506
1999,0,242,1732,35828,8827,0,19902,0,12805,52,2700,0,0,0,0,5048,6711,24042,21551,8833,82289,0,0,8023,0,28,0,238613
2000,0,368,2702,44491,11931,0,24373,0,14643,127,3389,0,0,0,0,2949,6707,32292,21386,12912,92044,0,0,9886,0,15,0,280215
2001,0,319,1937,35778,11950,0,23505,0,15179,16,3701,0,9,0,0,1609,10671,27286,21137,10338,81106,0,0,9302,0,9,0,253852
2002,0,27,0,33664,11301,0,7318,0,5993,0,2983,0,3475,0,0,2164,9183,310413,18540,13284,54891,0,0,2366,0,21,0,475623
2003,0,32,0,42464,15717,0,10400,0,12279,0,3194,0,0,0,0,3001,10762,335150,23130,15242,66089,0,0,2233,0,47,0,539740
2004,0,50,0,40209,12839,0,10077,0,11110,0,2998,0,0,0,0,1573,8581,5474,23867,11537,53757,0,811,1266,0,17,0,184166
2005,0,44,0,51623,22608,0,11183,0,10052,0,2861,0,0,0,0,4738,13491,174295,24239,18709,60322,0,0,2085,0,36,0,396286
2006,0,115,0,54543,26559,0,14316,0,15295,0,6898,0,0,0,0,3273,32295,5923,27016,10032,65578,0,0,3372,0,41,0,265256
