year,arctic_fox_sum,badger_sum,bassarisk_sum,beaver_sum,bobcat_sum,cougar_sum,coyote_sum,fisher_sum,fox_gray_sum,fox_kit_sum,fox_red_sum,fox_swift_sum,gray_wolf_sum,lynx_sum,marten_sum,mink_sum,muskrat_sum,nutria_sum,opossum_sum,otter_sum,raccoon_sum,skunk_hooded_sum,skunk_hognosed_sum,skunk_striped_sum,squirrel_sum,weasel_sum,wolverine_sum,all_species_sum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,2,600,5,949,60,100,205,10,854,333,52,190,5,8,26,544,83,155,421,0,710,1,560,8,693,158,14,4,369,602,1,240,837,107,508,11,344,1,85,529,0,0,22,288,821,520,8,544,12,8,195,408,,,,
1971,1,650,3,813,0,161,596,9,438,215,45,809,3,640,29,559,0,152,707,0,1,427,3,331,8,811,142,619,4,253,219,1,309,55,134,229,14,996,1,366,614,0,0,17,816,706,630,4,522,571,8,372,267,,,
1972,1,790,8,800,78,157,229,111,15,927,244,78,934,4,565,60,694,0,188,176,0,1,371,5,673,9,752,196,858,4,633,760,1,632,273,258,754,19,150,1,928,950,0,0,33,204,792,690,9,413,1,954,10,190,200,
1973,2,340,18,993,101,802,169,487,30,213,379,123,972,4,196,109,568,251,283,324,0,1,170,9,652,18,750,272,97,6,286,75,1,813,742,504,904,16,568,2,734,66,0,0,68,871,1,302,340,11,991,1,52,13,885,803
1974,755,21,382,79,131,172,222,31,877,371,167,759,3,999,146,206,126,230,783,0,1,90,4,134,13,254,252,681,6,875,196,1,546,38,789,774,16,692,2,968,324,0,0,88,3,1,328,170,13,420,805,14,752,192,,
1975,0,21,317,77,783,185,436,37,26,422,181,784,4,98,169,622,72,267,48,0,1,243,279,2,51,237,715,6,955,528,1,565,699,727,956,14,512,3,611,247,0,0,79,434,1,123,760,11,495,1,24,15,276,551,,
1976,4,261,45,185,151,157,234,501,83,415,386,360,254,2,905,254,385,1,474,359,72,0,1,76,2,567,28,4,327,549,6,709,532,1,973,975,1,40,603,31,202,4,17,791,0,0,139,503,861,230,24,855,997,16,655,879
1977,1,385,30,373,130,521,216,696,72,909,429,365,520,4,830,290,628,1,850,323,624,0,864,2,85,35,654,251,177,5,757,209,1,771,995,922,687,26,642,3,854,144,0,0,119,881,962,110,11,106,898,15,155,217,,
1978,3,275,36,608,135,712,244,47,81,666,656,399,975,5,929,382,267,3,624,397,739,0,855,2,483,40,305,320,52,6,288,207,1,186,304,1,144,322,29,853,4,688,868,0,0,264,632,1,16,480,14,212,745,16,688,816
1979,1,479,48,602,95,375,454,677,83,407,690,423,670,8,861,402,34,6,289,396,289,0,633,2,884,44,319,409,454,8,287,356,1,344,531,1,750,338,33,739,4,995,503,0,0,353,872,834,250,23,6,709,20,1,967,
1980,3,51,36,892,83,480,353,537,80,32,844,307,864,3,701,341,185,6,944,374,278,0,740,5,277,43,13,501,796,9,356,465,1,268,981,1,198,784,34,503,4,294,258,0,0,299,982,897,580,18,148,582,19,511,917,
1981,1,948,31,568,83,480,237,228,68,241,844,353,724,4,443,301,209,7,198,457,985,0,682,5,289,44,107,442,835,7,140,380,1,3,380,985,107,21,574,4,507,256,0,0,266,488,1,4,590,13,839,638,16,984,33,
1982,1,202,29,352,67,948,285,638,76,14,1,129,307,386,4,113,309,604,8,45,384,786,0,0,5,735,36,792,346,706,5,795,78,797,550,871,622,15,800,4,306,68,0,0,239,386,783,710,8,26,774,14,682,464,,
1983,720,19,754,48,763,324,40,67,366,980,261,357,3,495,250,473,5,414,371,171,0,729,3,202,33,923,318,99,5,583,433,918,356,525,233,17,536,3,173,172,0,0,199,165,664,50,7,936,601,12,798,968,,,,
1984,0,26,581,58,104,391,600,72,266,311,253,378,3,796,250,898,2,94,363,280,0,72,0,11,788,317,507,5,264,907,1,246,973,538,898,20,960,3,844,705,0,0,157,274,0,6,549,1,288,12,833,229,,,,
1985,0,22,621,52,525,349,698,62,247,271,230,908,5,472,207,8,5,617,295,907,0,0,36,17,57,260,205,3,323,842,794,839,441,483,16,52,3,240,959,0,0,145,115,933,240,4,177,16,10,409,295,,,,,
1986,165,24,932,54,112,541,52,80,306,132,323,393,5,480,291,785,4,886,418,253,0,798,1,255,39,43,361,806,6,37,505,1,27,926,918,457,23,850,4,680,89,0,0,227,658,912,516,12,29,643,15,988,71,,,
1987,612,27,767,57,536,460,805,85,879,180,321,355,6,757,320,520,8,213,430,373,0,1,97,1,67,43,856,417,32,5,825,106,662,498,904,573,24,318,4,208,924,0,0,229,438,1,76,913,18,218,555,15,133,592,,
1988,361,16,898,22,788,303,46,46,535,1,243,152,583,4,870,147,749,4,310,299,370,0,855,1,223,43,515,258,180,2,429,85,234,528,362,995,13,619,2,182,949,0,0,123,342,958,230,11,906,482,7,620,662,,,
1989,73,6,101,11,255,257,574,26,782,1,40,92,658,4,84,90,938,1,719,177,463,0,934,1,312,33,933,142,243,1,284,959,306,161,169,527,12,809,1,162,843,0,0,66,448,1,78,590,6,392,460,4,936,298,,
1990,0,6,698,5,585,153,671,13,854,837,108,929,3,160,56,251,575,197,975,0,1,100,1,248,8,303,93,434,906,360,143,455,105,307,7,969,859,742,0,0,44,560,0,3,843,512,2,723,368,,,,,,,
1991,42,10,825,5,638,191,601,22,77,866,158,1,3,336,90,604,1,519,217,257,0,1,162,2,75,22,827,129,106,1,206,892,251,828,145,290,10,916,1,417,198,0,0,45,148,0,3,957,591,3,938,756,,,,
1992,252,8,639,508,194,361,21,168,2,48,197,329,5,340,69,91,1,327,210,560,0,1,51,1,368,8,728,127,383,1,338,807,142,246,141,359,11,794,1,175,328,0,0,50,618,0,3,209,401,3,712,915,,,,
1993,144,7,829,806,272,327,24,108,2,237,197,332,6,315,66,621,1,402,204,546,0,1,583,1,223,11,131,151,930,1,888,533,237,317,146,485,17,553,1,434,809,0,0,58,153,0,5,742,523,4,738,649,,,,
1994,149,10,237,7,414,454,583,28,19,1,945,179,778,7,771,82,514,1,715,186,344,0,1,459,821,13,586,191,976,2,186,130,190,594,172,833,24,796,1,889,290,0,0,73,310,0,12,824,635,5,718,723,,,,
1995,1,7,81,81,275,535,19,57,1,260,199,443,8,23,82,893,473,195,71,0,1,252,577,10,741,116,648,1,378,91,204,656,169,555,23,724,1,822,65,0,0,55,236,0,9,947,402,4,581,812,,,,,,
1996,136,10,476,89,409,575,38,578,1,435,211,784,9,989,101,562,2,838,217,878,0,1,281,1,721,9,856,176,341,1,851,318,351,24,299,265,41,811,3,53,556,0,0,83,145,0,8,721,545,6,882,924,,,,
1997,51,17,807,79,448,377,36,889,1,314,202,290,16,472,77,932,720,204,478,0,1,81,2,720,14,368,203,434,2,611,523,398,37,321,651,28,501,2,935,895,0,0,151,35,0,25,425,511,7,700,590,,,,,
1998,0,7,244,4,41,293,249,22,157,0,168,59,8,726,76,445,29,193,269,13,0,3,5,471,137,129,1,268,750,16,124,196,383,13,524,1,354,930,0,5,85,626,0,10,584,9,3,861,770,,,,,,,
1999,0,9,314,1,967,298,659,25,94,0,189,374,8,145,86,677,249,140,491,0,0,0,7,819,133,906,1,249,846,30,107,148,757,17,788,1,129,781,0,67,87,413,0,14,465,4,3,579,923,,,,,,,
2000,0,11,979,2,892,306,574,28,912,0,199,372,6,828,53,972,330,111,233,9,0,0,5,247,107,386,1,124,819,37,617,138,349,21,517,993,830,27,10,78,70,0,15,125,14,3,244,112,,,,,,,,
2001,0,8,688,2,74,357,783,33,177,0,225,533,11,161,76,583,223,142,364,35,9,0,8,747,138,218,1,347,983,31,483,158,487,22,150,1,645,93,0,10,70,111,0,16,454,10,4,296,376,,,,,,,
2002,0,11,217,264,282,20,37,908,0,234,819,10,611,62,500,511,150,338,47,3,475,0,6,992,108,265,1,2,708,314,832,212,266,23,850,1,300,726,3,33,106,389,0,13,230,15,3,883,19,,,,,,,
2003,0,15,505,368,295,170,48,841,0,273,785,10,396,73,184,1,205,137,965,43,0,0,9,667,106,2,936,93,338,410,254,837,27,278,1,522,894,1,46,109,745,0,19,657,10,4,181,102,,,,,,,,
2004,0,12,361,146,310,622,45,659,0,218,725,10,990,47,319,388,101,905,0,0,0,7,109,110,234,984,760,9,740,235,856,24,160,1,520,682,0,811,105,349,213,16,60,43,3,763,132,,,,,,,,,
2005,0,13,998,200,347,418,58,951,0,251,195,10,359,56,14,427,117,822,38,0,0,9,299,111,942,1,161,703,176,420,236,16,31,982,1,129,593,8,50,101,953,0,14,912,11,3,830,311,,,,,,,,
2006,0,18,430,326,349,824,74,324,0,297,401,13,186,73,881,386,155,276,107,0,0,9,622,138,926,1,866,826,9,278,292,385,20,543,1,556,909,11,48,116,515,0,28,727,9,5,22,940,,,,,,,,
2007,0,16,886,445,250,408,65,893,0,305,792,8,42,74,532,317,166,707,264,0,0,8,594,112,593,1,34,584,314,540,281,373,16,470,1,375,153,5,0,128,83,0,24,50,9,4,184,740,,,,,,,,
2008,0,14,812,103,215,612,44,187,0,261,292,6,315,48,399,131,101,240,0,0,0,4,326,62,227,655,91,341,334,212,839,13,938,1,233,629,0,0,107,345,152,14,102,4,3,337,78,,,,,,,,,
2009,0,1,937,214,17,864,9,318,0,90,731,1,259,5,831,220,14,208,43,0,0,2,256,10,588,168,696,448,6,9,269,3,955,250,89,2,54,16,183,0,116,0,1,50,839,,,,,,,,,,,
